date,Kabupaten,ERA5_LST_Mean,ERA5_LST_Max,ERA5_LST_Percentile95,ERA5_Cloud_Cover_Percentage,ERA5_Max_Lon,ERA5_Max_Lat
2014-01-01,bandung,21.30877520024456,23.55164426167809,23.016325251261406,0.0,107.56876369689208,-6.912536111299717
2014-01-02,bandung,22.750434496858773,24.82974395751956,24.43037058512371,0.0,107.56876369689208,-6.912536111299717
2014-01-03,bandung,23.30425883938669,25.246355311075888,24.871843592325888,0.0,107.56876369689208,-6.912536111299717
2014-01-04,bandung,21.190440487108177,23.76680335998537,23.19140459696456,0.0,107.56876369689208,-6.912536111299717
2014-01-05,bandung,21.88644337693589,24.19819793701174,23.68326466878256,0.0,107.56876369689208,-6.912536111299717
2014-01-06,bandung,21.416788511697334,23.614451344807943,22.999583180745443,0.0,107.56876369689208,-6.912536111299717
2014-01-07,bandung,21.763238682338155,23.85331560770672,23.33598162333172,0.0,107.56876369689208,-6.912536111299717
2014-01-08,bandung,21.32124266067538,23.79598579406741,23.275396601359063,0.0,107.56876369689208,-6.912536111299717
2014-01-09,bandung,22.23461729811236,24.339418665568047,23.870831425984733,0.0,107.56876369689208,-6.912536111299717
2014-01-10,bandung,22.09006039252604,24.3604700724284,23.8535120646159,0.0,107.56876369689208,-6.912536111299717
2014-01-11,bandung,22.02007069950815,24.28074671427413,23.794215138753287,0.0,107.56876369689208,-6.912536111299717
2014-01-12,bandung,20.931564978071112,23.185116704305045,22.5896984100342,0.0,107.56876369689208,-6.912536111299717
2014-01-13,bandung,19.883158750864887,22.28642616271975,21.580045954386406,0.0,107.56876369689208,-6.912536111299717
2014-01-14,bandung,21.72906855962488,23.94312502543133,23.50192222595217,0.0,107.56876369689208,-6.912536111299717
2014-01-15,bandung,21.40777832795097,23.747977828979515,23.239921188354515,0.0,107.56876369689208,-6.912536111299717
2014-01-16,bandung,21.0335456338351,23.29347826639816,22.75750821431481,0.0,107.56876369689208,-6.912536111299717
2014-01-17,bandung,20.29892477713007,22.67827186584475,22.11564979553225,0.0,107.56876369689208,-6.912536111299717
2014-01-18,bandung,20.052206246805056,22.46731719970705,21.81143341064455,0.0,107.56876369689208,-6.912536111299717
2014-01-19,bandung,19.91961230835309,22.041231409708672,21.408418909708672,0.0,107.56876369689208,-6.912536111299717
2014-01-20,bandung,20.49322362253681,22.72386067708337,22.22662760416668,0.0,107.56876369689208,-6.912536111299717
2014-01-21,bandung,19.52361815812928,21.835521316528343,21.317210769653343,0.0,107.56876369689208,-6.912536111299717
2014-01-22,bandung,21.138981896082377,23.253013865153008,22.875816599528008,0.0,107.56876369689208,-6.912536111299717
2014-01-23,bandung,19.090155180083386,21.47922096252444,20.8071425120036,0.0,107.56876369689208,-6.912536111299717
