date,Kabupaten,SoilMoisture_Daily_Mean
2014-01-06,Kota Cimahi,35.78037643432617
2014-01-06,Kota Tasikmalaya,30.980673712653083
2014-01-06,Tasikmalaya,32.31390319171049
2014-01-06,Ciamis,35.15725366915876
2014-01-06,Kota Banjar,38.25128306513247
2014-01-06,Bekasi,40.48862946690988
2014-01-06,Bogor,41.1855940871715
2014-01-06,Cianjur,35.66619618733725
2014-01-06,Cirebon,39.8382187015546
2014-01-06,Garut,32.77336806169383
2014-01-06,Indramayu,40.31762515032732
2014-01-06,Karawang,41.48021693313331
2014-01-06,Kota Bandung,35.78037643432617
2014-01-06,Kota Bogor,40.59562683105469
2014-01-06,Kota Cirebon,40.041751861572266
2014-01-06,Kota Sukabumi,40.58224868774414
2014-01-06,Kuningan,38.77210531448783
2014-01-06,Majalengka,38.87911579320249
2014-01-06,Purwakarta,40.60860028576924
2014-01-06,Subang,40.38283221020008
2014-01-06,Sukabumi,40.10009599305383
2014-01-06,Sumedang,39.58916201435303
2014-01-06,Kota Bekasi,40.91161232806267
2014-01-06,Kota Depok,42.712968587875366
2014-01-07,Bandung,36.48846736032154
2014-01-07,Kota Cimahi,36.234622955322266
2014-01-07,Kota Tasikmalaya,31.67339190921268
2014-01-07,Tasikmalaya,32.92475178522389
2014-01-07,Ciamis,35.44561991329081
2014-01-07,Kota Banjar,38.50522115956182
2014-01-07,Bekasi,40.057838348461864
2014-01-07,Bogor,40.729218992046576
2014-01-07,Cianjur,35.53015115737916
2014-01-07,Cirebon,39.3769845616306
2014-01-07,Garut,33.4808904009271
2014-01-07,Indramayu,40.052592767786095
2014-01-07,Karawang,41.206443766543735
2014-01-07,Kota Bandung,36.234622955322266
2014-01-07,Kota Bogor,40.19012451171875
2014-01-07,Kota Cirebon,39.648624420166016
2014-01-07,Kota Sukabumi,40.364501953125
2014-01-07,Kuningan,38.60452532114234
2014-01-07,Majalengka,38.57866773904706
2014-01-07,Purwakarta,40.463733885679446
2014-01-07,Subang,40.51057644644384
2014-01-07,Sukabumi,39.17961454428473
2014-01-07,Sumedang,39.67862602924795
2014-01-07,Kota Bekasi,40.49965919332301
2014-01-07,Kota Depok,42.32340341806412
2014-01-08,Bandung,35.27162922173023
2014-01-08,Kota Cimahi,34.51074981689453
2014-01-08,Kota Tasikmalaya,31.656074420825853
2014-01-08,Tasikmalaya,32.85997201599775
2014-01-08,Ciamis,35.30539341976768
2014-01-08,Kota Banjar,38.245370616083555
2014-01-08,Bekasi,39.040662706041225
2014-01-08,Bogor,39.647093494773266
2014-01-08,Cianjur,34.802513079643255
2014-01-08,Cirebon,39.040431183163484
2014-01-08,Garut,32.91896860420119
2014-01-08,Indramayu,39.38222024423105
2014-01-08,Karawang,40.13675923263817
2014-01-08,Kota Bandung,34.51074981689453
2014-01-08,Kota Bogor,39.03274917602539
2014-01-08,Kota Cirebon,39.326499938964844
2014-01-08,Kota Sukabumi,39.39149856567383
2014-01-08,Kuningan,38.28145958003856
2014-01-08,Majalengka,38.20634719609144
2014-01-08,Purwakarta,39.03167722247333
2014-01-08,Subang,39.04165551672918
2014-01-08,Sukabumi,38.65437270431579
2014-01-08,Sumedang,38.76188678778206
2014-01-08,Kota Bekasi,39.577529826062786
2014-01-08,Kota Depok,41.495351672172546
2014-01-09,Bandung,35.25520553552224
2014-01-09,Kota Cimahi,35.11275100708008
2014-01-09,Kota Tasikmalaya,29.619214418772106
2014-01-09,Tasikmalaya,31.211388255696516
2014-01-09,Ciamis,33.76343065005296
2014-01-09,Kota Banjar,36.76846595432447
2014-01-09,Bekasi,39.328667830506106
2014-01-09,Bogor,40.32263908809657
2014-01-09,Cianjur,34.51453382015228
2014-01-09,Cirebon,38.22327215364664
2014-01-09,Garut,31.87432786448571
2014-01-09,Indramayu,39.112961047137226
2014-01-09,Karawang,40.42262079339278
2014-01-09,Kota Bandung,35.11275100708008
2014-01-09,Kota Bogor,39.76649856567383
2014-01-09,Kota Cirebon,38.467498779296875
2014-01-09,Kota Sukabumi,40.04087448120117
2014-01-09,Kuningan,37.156944027565366
2014-01-09,Majalengka,37.400026150348474
2014-01-09,Purwakarta,39.71099237022754
2014-01-09,Subang,39.68591925200746
2014-01-09,Sukabumi,39.06198976574433
2014-01-09,Sumedang,38.87294745031809
2014-01-09,Kota Bekasi,39.93470098617229
2014-01-09,Kota Depok,41.924924612045295
2014-01-10,Bandung,35.80194692950656
2014-01-10,Kota Cimahi,35.49700164794922
2014-01-10,Kota Tasikmalaya,30.48726935000033
2014-01-10,Tasikmalaya,31.897531169206438
2014-01-10,Ciamis,34.34614536664639
2014-01-10,Kota Banjar,37.49203889266304
2014-01-10,Bekasi,39.92341568944553
2014-01-10,Bogor,41.19234811453718
2014-01-10,Cianjur,35.146103658676154
2014-01-10,Cirebon,38.18423200047056
2014-01-10,Garut,32.785624550889075
2014-01-10,Indramayu,39.24649976377134
2014-01-10,Karawang,41.00615042301646
2014-01-10,Kota Bandung,35.49700164794922
2014-01-10,Kota Bogor,40.69712448120117
2014-01-10,Kota Cirebon,38.4744987487793
2014-01-10,Kota Sukabumi,40.284751892089844
2014-01-10,Kuningan,37.4241024502495
2014-01-10,Majalengka,37.5340619365196
2014-01-10,Purwakarta,40.22562309241516
2014-01-10,Subang,40.24685293060794
2014-01-10,Sukabumi,39.66749351980892
2014-01-10,Sumedang,39.218886175137264
2014-01-10,Kota Bekasi,40.594736951462764
2014-01-10,Kota Depok,42.692573964595795
2014-01-11,Bandung,35.4677661727187
2014-01-11,Kota Cimahi,35.069374084472656
2014-01-11,Kota Tasikmalaya,30.19996282216665
2014-01-11,Tasikmalaya,31.47945884858811
2014-01-11,Ciamis,33.95113430134734
2014-01-11,Kota Banjar,36.96797843601393
2014-01-11,Bekasi,39.80075137277874
2014-01-11,Bogor,41.256420258676975
2014-01-11,Cianjur,35.03374829451243
2014-01-11,Cirebon,38.0187930746047
2014-01-11,Garut,32.18246945846042
2014-01-11,Indramayu,38.88978055600767
2014-01-11,Karawang,40.587644275866054
2014-01-11,Kota Bandung,35.069374084472656
2014-01-11,Kota Bogor,40.89299774169922
2014-01-11,Kota Cirebon,38.35487365722656
2014-01-11,Kota Sukabumi,40.92262268066406
2014-01-11,Kuningan,36.986449710151504
2014-01-11,Majalengka,37.30260671093859
2014-01-11,Purwakarta,39.798792966010026
2014-01-11,Subang,39.69134444967021
2014-01-11,Sukabumi,40.197776483694106
2014-01-11,Sumedang,38.876590589108034
2014-01-11,Kota Bekasi,40.49369714615192
2014-01-11,Kota Depok,42.83988583087921
2014-01-12,Bandung,36.72261531437738
2014-01-12,Kota Cimahi,36.92649841308594
2014-01-12,Kota Tasikmalaya,31.749367791253167
2014-01-12,Tasikmalaya,33.03339542928689
2014-01-12,Ciamis,35.70913973356547
2014-01-12,Kota Banjar,38.697784423828125
2014-01-12,Bekasi,41.32876397551393
2014-01-12,Bogor,42.13160130474811
2014-01-12,Cianjur,35.8004765923818
2014-01-12,Cirebon,39.67405338098507
2014-01-12,Garut,33.25699060121825
2014-01-12,Indramayu,40.722346117938
2014-01-12,Karawang,42.26910581756056
2014-01-12,Kota Bandung,36.92649841308594
2014-01-12,Kota Bogor,42.16374969482422
2014-01-12,Kota Cirebon,40.058998107910156
2014-01-12,Kota Sukabumi,42.14812469482422
2014-01-12,Kuningan,38.76120870309578
2014-01-12,Majalengka,38.808838438025504
2014-01-12,Purwakarta,41.46342947756173
2014-01-12,Subang,41.499133354399255
2014-01-12,Sukabumi,40.70905612327038
2014-01-12,Sumedang,40.501413782667335
2014-01-12,Kota Bekasi,41.853818284704325
2014-01-12,Kota Depok,43.50595301389694
2014-01-13,Bandung,35.78930386480062
2014-01-13,Kota Cimahi,35.537750244140625
2014-01-13,Kota Tasikmalaya,30.976748672691553
2014-01-13,Tasikmalaya,32.290477201572926
2014-01-13,Ciamis,34.8654927883929
2014-01-13,Kota Banjar,37.86308703215226
2014-01-13,Bekasi,40.36855109418326
2014-01-13,Bogor,40.7101927024926
2014-01-13,Cianjur,35.13392094135285
2014-01-13,Cirebon,38.88169478111141
2014-01-13,Garut,32.7729822905529
2014-01-13,Indramayu,39.68016509444625
2014-01-13,Karawang,41.338964288276536
2014-01-13,Kota Bandung,35.537750244140625
2014-01-13,Kota Bogor,40.407623291015625
2014-01-13,Kota Cirebon,39.15137481689453
2014-01-13,Kota Sukabumi,40.43162536621094
2014-01-13,Kuningan,37.93278551934069
2014-01-13,Majalengka,38.08167780033676
2014-01-13,Purwakarta,40.278053141968904
2014-01-13,Subang,40.25159522485245
2014-01-13,Sukabumi,39.4369857557251
2014-01-13,Sumedang,39.41778962093053
2014-01-13,Kota Bekasi,40.797532913532656
2014-01-13,Kota Depok,42.46601074934006
2014-01-14,Bandung,37.12251204418288
2014-01-14,Kota Cimahi,37.09962463378906
2014-01-14,Kota Tasikmalaya,32.433772937671556
2014-01-14,Tasikmalaya,33.59072384737902
2014-01-14,Ciamis,36.06433998687922
2014-01-14,Kota Banjar,38.95075607299805
2014-01-14,Bekasi,41.11528607009413
2014-01-14,Bogor,41.61957754833787
2014-01-14,Cianjur,36.16622646013897
2014-01-14,Cirebon,40.9877514099524
2014-01-14,Garut,33.87799250728561
2014-01-14,Indramayu,41.35791505601671
2014-01-14,Karawang,42.061521054987324
2014-01-14,Kota Bandung,37.09962463378906
2014-01-14,Kota Bogor,41.17625045776367
2014-01-14,Kota Cirebon,41.25662612915039
2014-01-14,Kota Sukabumi,41.10912322998047
2014-01-14,Kuningan,39.66203582078739
2014-01-14,Majalengka,39.78384718445918
2014-01-14,Purwakarta,41.541571602363696
2014-01-14,Subang,41.47166443988136
2014-01-14,Sukabumi,40.218670856129584
2014-01-14,Sumedang,40.617022005349455
2014-01-14,Kota Bekasi,41.39554117081013
2014-01-14,Kota Depok,42.73407477140427
2014-01-15,Bandung,36.162195562972805
2014-01-15,Kota Cimahi,35.347625732421875
2014-01-15,Kota Tasikmalaya,31.802857038137073
2014-01-15,Tasikmalaya,33.08374132526049
2014-01-15,Ciamis,35.626087831196024
2014-01-15,Kota Banjar,38.54451021940812
2014-01-15,Bekasi,40.03872818798184
2014-01-15,Bogor,40.254905369640234
2014-01-15,Cianjur,35.488343051274626
2014-01-15,Cirebon,41.34202219393387
2014-01-15,Garut,33.8370009477422
2014-01-15,Indramayu,41.20613359239366
2014-01-15,Karawang,41.05326012059262
2014-01-15,Kota Bandung,35.347625732421875
2014-01-15,Kota Bogor,39.70100021362305
2014-01-15,Kota Cirebon,41.706748962402344
2014-01-15,Kota Sukabumi,39.6302490234375
2014-01-15,Kuningan,39.90770381822848
2014-01-15,Majalengka,40.06587139694145
2014-01-15,Purwakarta,40.03611402245866
2014-01-15,Subang,40.11288444887667
2014-01-15,Sukabumi,39.76341373038163
2014-01-15,Sumedang,39.99599222319204
2014-01-15,Kota Bekasi,40.423119321782536
2014-01-15,Kota Depok,42.06124073266983
2014-01-16,Bandung,37.18418926785018
2014-01-16,Kota Cimahi,37.476375579833984
2014-01-16,Kota Tasikmalaya,31.348648870313486
2014-01-16,Tasikmalaya,32.768270937072536
2014-01-16,Ciamis,35.47075050309388
2014-01-16,Kota Banjar,38.19563956882643
2014-01-16,Bekasi,42.072067864507225
2014-01-16,Bogor,41.86411264998881
2014-01-16,Cianjur,36.205355389912924
2014-01-16,Cirebon,42.477481779092216
2014-01-16,Garut,33.485722282850624
2014-01-16,Indramayu,42.539093260588466
2014-01-16,Karawang,42.76043059365791
2014-01-16,Kota Bandung,37.476375579833984
2014-01-16,Kota Bogor,41.35212326049805
2014-01-16,Kota Cirebon,42.6983757019043
2014-01-16,Kota Sukabumi,41.40824890136719
2014-01-16,Kuningan,40.72467559471987
2014-01-16,Majalengka,41.1134196054775
2014-01-16,Purwakarta,41.93179584656706
2014-01-16,Subang,41.87312320245657
2014-01-16,Sukabumi,40.6637571052214
2014-01-16,Sumedang,41.147638515700265
2014-01-16,Kota Bekasi,42.095617172565866
2014-01-16,Kota Depok,43.10635483264924
2014-01-17,Bandung,37.84612831899916
2014-01-17,Kota Cimahi,38.498374938964844
2014-01-17,Kota Tasikmalaya,31.32779755463471
2014-01-17,Tasikmalaya,32.78180019183618
2014-01-17,Ciamis,35.427466875488996
2014-01-17,Kota Banjar,38.07420548148777
2014-01-17,Bekasi,42.570009007442486
2014-01-17,Bogor,42.54652351664245
2014-01-17,Cianjur,36.54527818361919
2014-01-17,Cirebon,41.6547645342232
2014-01-17,Garut,33.650848871229
2014-01-17,Indramayu,42.02462465639468
2014-01-17,Karawang,43.281937020285085
2014-01-17,Kota Bandung,38.498374938964844
2014-01-17,Kota Bogor,42.10749816894531
2014-01-17,Kota Cirebon,42.01874923706055
2014-01-17,Kota Sukabumi,42.09812545776367
2014-01-17,Kuningan,40.244527260264256
2014-01-17,Majalengka,40.56937015003153
2014-01-17,Purwakarta,42.66121175193195
2014-01-17,Subang,42.51150805918748
2014-01-17,Sukabumi,41.167099937160785
2014-01-17,Sumedang,41.531886951542084
2014-01-17,Kota Bekasi,42.53458437006525
2014-01-17,Kota Depok,43.579635083675385
2014-01-18,Bandung,36.82287143263876
2014-01-18,Kota Cimahi,36.7036247253418
2014-01-18,Kota Tasikmalaya,31.894456966503245
2014-01-18,Tasikmalaya,33.196167749683866
2014-01-18,Ciamis,35.77726609525625
2014-01-18,Kota Banjar,38.50109564739725
2014-01-18,Bekasi,41.201330381617566
2014-01-18,Bogor,41.38823550211793
2014-01-18,Cianjur,36.05955398559571
2014-01-18,Cirebon,40.64811915532984
2014-01-18,Garut,33.590757542634094
2014-01-18,Indramayu,41.01966410884151
2014-01-18,Karawang,42.10560067829333
2014-01-18,Kota Bandung,36.7036247253418
2014-01-18,Kota Bogor,40.81549835205078
2014-01-18,Kota Cirebon,40.89350128173828
2014-01-18,Kota Sukabumi,40.822998046875
2014-01-18,Kuningan,39.515074028338574
2014-01-18,Majalengka,39.63243792409854
2014-01-18,Purwakarta,41.2214208195453
2014-01-18,Subang,41.10221592468888
2014-01-18,Sukabumi,40.684672365269996
2014-01-18,Sumedang,40.42030754162856
2014-01-18,Kota Bekasi,41.371705562510385
2014-01-18,Kota Depok,42.842561304569244
2014-01-19,Bandung,36.2347374676971
2014-01-19,Kota Cimahi,36.45100021362305
2014-01-19,Kota Tasikmalaya,30.333100112708838
2014-01-19,Tasikmalaya,31.87264697361786
2014-01-19,Ciamis,34.67732342056363
2014-01-19,Kota Banjar,37.47620375260063
2014-01-19,Bekasi,40.970595801191074
2014-01-19,Bogor,41.0192490047451
2014-01-19,Cianjur,35.186241016387946
2014-01-19,Cirebon,40.82628072606455
2014-01-19,Garut,32.49230109228303
2014-01-19,Indramayu,41.038914416277855
2014-01-19,Karawang,41.8937801628782
2014-01-19,Kota Bandung,36.45100021362305
2014-01-19,Kota Bogor,40.36337661743164
2014-01-19,Kota Cirebon,41.07550048828125
2014-01-19,Kota Sukabumi,40.34000015258789
2014-01-19,Kuningan,39.40915857824007
2014-01-19,Majalengka,39.699384868946844
2014-01-19,Purwakarta,41.09235848583304
2014-01-19,Subang,41.04068641606746
2014-01-19,Sukabumi,40.12545398744713
2014-01-19,Sumedang,40.238761475550184
2014-01-19,Kota Bekasi,41.06879238372153
2014-01-19,Kota Depok,42.48976105451584
2014-01-20,Bandung,37.392814496981195
2014-01-20,Kota Cimahi,38.03162384033203
2014-01-20,Kota Tasikmalaya,31.358582135793323
2014-01-20,Tasikmalaya,32.69619793840878
2014-01-20,Ciamis,35.460196357860895
2014-01-20,Kota Banjar,38.229157655135445
2014-01-20,Bekasi,41.75330652836129
2014-01-20,Bogor,42.1768269351224
2014-01-20,Cianjur,36.141078961690276
2014-01-20,Cirebon,41.172906944854034
2014-01-20,Garut,33.26832072633433
2014-01-20,Indramayu,41.93541744656032
2014-01-20,Karawang,42.7214004315828
2014-01-20,Kota Bandung,38.03162384033203
2014-01-20,Kota Bogor,41.838375091552734
2014-01-20,Kota Cirebon,41.30587387084961
2014-01-20,Kota Sukabumi,41.85074996948242
2014-01-20,Kuningan,39.88142757463336
2014-01-20,Majalengka,40.319865000087574
2014-01-20,Purwakarta,42.22135304076014
2014-01-20,Subang,42.179836826128984
2014-01-20,Sukabumi,40.861321404148576
2014-01-20,Sumedang,41.23904270473473
2014-01-20,Kota Bekasi,41.8395936032559
2014-01-20,Kota Depok,43.25179094076157
2014-01-21,Bandung,36.32080292862041
2014-01-21,Kota Cimahi,37.167747497558594
2014-01-21,Kota Tasikmalaya,29.29690711562698
2014-01-21,Tasikmalaya,30.92681378558473
2014-01-21,Ciamis,33.97653724268862
2014-01-21,Kota Banjar,36.764064457105555
2014-01-21,Bekasi,41.07701623125328
2014-01-21,Bogor,41.35009464606506
2014-01-21,Cianjur,34.90828628222148
2014-01-21,Cirebon,40.29817515710006
2014-01-21,Garut,31.588502973350597
2014-01-21,Indramayu,40.939808959960935
2014-01-21,Karawang,41.96169868603088
2014-01-21,Kota Bandung,37.167747497558594
2014-01-21,Kota Bogor,40.689125061035156
2014-01-21,Kota Cirebon,40.49962615966797
2014-01-21,Kota Sukabumi,40.864749908447266
2014-01-21,Kuningan,38.77432111136039
2014-01-21,Majalengka,39.29256635075727
2014-01-21,Purwakarta,41.67595763546025
2014-01-21,Subang,41.42929646281163
2014-01-21,Sukabumi,40.11944728345257
2014-01-21,Sumedang,40.413182554447125
2014-01-21,Kota Bekasi,41.18023170308864
2014-01-21,Kota Depok,42.79363524913788
2014-01-22,Bandung,35.41079497909913
2014-01-22,Kota Cimahi,35.622501373291016
2014-01-22,Kota Tasikmalaya,30.093070545712028
2014-01-22,Tasikmalaya,31.398419560490265
2014-01-22,Ciamis,34.47200541803014
2014-01-22,Kota Banjar,37.36126609470533
2014-01-22,Bekasi,40.003826287724706
2014-01-22,Bogor,40.072909535120274
2014-01-22,Cianjur,34.1182240486145
2014-01-22,Cirebon,39.81130524437026
2014-01-22,Garut,31.532537429127334
2014-01-22,Indramayu,40.34777118259006
2014-01-22,Karawang,41.12397173831337
2014-01-22,Kota Bandung,35.622501373291016
2014-01-22,Kota Bogor,39.428123474121094
2014-01-22,Kota Cirebon,40.02787399291992
2014-01-22,Kota Sukabumi,39.368873596191406
2014-01-22,Kuningan,38.54985393609787
2014-01-22,Majalengka,38.882310550843656
2014-01-22,Purwakarta,40.2499005462363
2014-01-22,Subang,40.30469689432036
2014-01-22,Sukabumi,38.94075645523723
2014-01-22,Sumedang,39.7587205817015
2014-01-22,Kota Bekasi,40.24571560798807
2014-01-22,Kota Depok,41.93530076742173
2014-01-23,Bandung,35.43651888991182
2014-01-23,Kota Cimahi,35.27012634277344
2014-01-23,Kota Tasikmalaya,31.314371624508418
2014-01-23,Tasikmalaya,32.47157759785511
2014-01-23,Ciamis,35.58702264529223
2014-01-23,Kota Banjar,38.38914639016856
2014-01-23,Bekasi,39.832986644131964
2014-01-23,Bogor,39.56893316551847
2014-01-23,Cianjur,34.842747502326965
2014-01-23,Cirebon,41.231265077496516
2014-01-23,Garut,32.11069846283259
2014-01-23,Indramayu,41.01832071940104
2014-01-23,Karawang,40.951392043264285
2014-01-23,Kota Bandung,35.27012634277344
2014-01-23,Kota Bogor,38.881126403808594
2014-01-23,Kota Cirebon,41.53062438964844
2014-01-23,Kota Sukabumi,38.875999450683594
2014-01-23,Kuningan,39.81314960203861
2014-01-23,Majalengka,39.93977091665225
2014-01-23,Purwakarta,40.09930905321434
2014-01-23,Subang,39.99013170211591
2014-01-23,Sukabumi,39.323765049616995
2014-01-23,Sumedang,39.790542382036335
2014-01-23,Kota Bekasi,39.880273129077665
2014-01-23,Kota Depok,41.500772535800934
2014-01-24,Bandung,35.31266850994598
2014-01-24,Kota Cimahi,35.72062683105469
2014-01-24,Kota Tasikmalaya,29.88677847063219
2014-01-24,Tasikmalaya,31.249790633901263
2014-01-24,Ciamis,34.37963644105789
2014-01-24,Kota Banjar,37.180510147758156
2014-01-24,Bekasi,40.255243488924684
2014-01-24,Bogor,39.29031293543749
2014-01-24,Cianjur,34.06633055051169
2014-01-24,Cirebon,40.39512430323232
2014-01-24,Garut,31.303738347576644
2014-01-24,Indramayu,40.80104869701244
2014-01-24,Karawang,41.388866980034
2014-01-24,Kota Bandung,35.72062683105469
2014-01-24,Kota Bogor,38.61837387084961
2014-01-24,Kota Cirebon,40.613372802734375
2014-01-24,Kota Sukabumi,38.58712387084961
2014-01-24,Kuningan,38.87690843311034
2014-01-24,Majalengka,39.34059262810266
2014-01-24,Purwakarta,40.54843073511271
2014-01-24,Subang,40.47490214603363
2014-01-24,Sukabumi,37.96221770825915
2014-01-24,Sumedang,40.015714281556235
2014-01-24,Kota Bekasi,40.03235585638817
2014-01-24,Kota Depok,41.360459625720985
2014-01-25,Bandung,33.992741908165954
2014-01-25,Kota Cimahi,33.731998443603516
2014-01-25,Kota Tasikmalaya,29.340536194878652
2014-01-25,Tasikmalaya,30.802228115685065
2014-01-25,Ciamis,33.85146269547312
2014-01-25,Kota Banjar,36.825196307638414
2014-01-25,Bekasi,38.42911899118401
2014-01-25,Bogor,38.002209075404224
2014-01-25,Cianjur,33.13320605595908
2014-01-25,Cirebon,38.64481394046998
2014-01-25,Garut,30.8460443844062
2014-01-25,Indramayu,39.26361381248192
2014-01-25,Karawang,39.817438681083814
2014-01-25,Kota Bandung,33.731998443603516
2014-01-25,Kota Bogor,37.2557487487793
2014-01-25,Kota Cirebon,38.812374114990234
2014-01-25,Kota Sukabumi,37.32099914550781
2014-01-25,Kuningan,37.52513282376335
2014-01-25,Majalengka,37.80410103733764
2014-01-25,Purwakarta,38.725303756194215
2014-01-25,Subang,38.92471395579125
2014-01-25,Sukabumi,36.956576401360564
2014-01-25,Sumedang,38.52311835904572
2014-01-25,Kota Bekasi,38.63357357268637
2014-01-25,Kota Depok,40.46343052387238
2014-01-26,Bandung,34.65627997707107
2014-01-26,Kota Cimahi,34.0103759765625
2014-01-26,Kota Tasikmalaya,30.572266604449297
2014-01-26,Tasikmalaya,31.82505789721622
2014-01-26,Ciamis,34.518771797314024
2014-01-26,Kota Banjar,37.38727586165718
2014-01-26,Bekasi,38.55071476266253
