date,Kabupaten,LST_Mean,LST_Max,LST_Percentile95,Cloud_Cover_Percentage,Max_Lon,Max_Lat
2014-01-09,Cirebon,28.36588103579853,42.46480292000001,34.56133625909089,2.8733817790102525,,
2014-01-09,Indramayu,35.9500452601072,75.04195154000001,40.733883341293875,2.1282870229439097,,
2014-01-09,Majalengka,36.51703261616009,60.214580780000006,54.05530874000002,0.0,,
2014-01-09,Subang,37.445219964293,72.77580427999999,42.37371273471059,0.03795994201389506,,
2014-03-73,Cirebon,28.986826431751513,39.04336490000003,34.93501102635344,90.66138939422622,,
2014-03-73,Indramayu,28.908032236825797,65.12969354,34.74111573695928,59.1291493394652,,
2014-03-73,Majalengka,26.829522356426487,48.71977952000003,40.94463852499999,52.676896415381655,,
2014-03-73,Subang,30.583434248362746,62.740497559999994,36.74438187914821,17.33992948449675,,
2014-03-89,Cirebon,15.401329937149306,36.28502276000006,24.126581502453902,17.220520728695366,,
2014-03-89,Indramayu,18.1041654194429,57.86640104000003,29.234561848184054,83.79778896712313,,
2014-03-89,Majalengka,13.191152208580656,36.53453822000006,35.69797782500001,63.47861697071509,,
2014-03-89,Subang,25.886180191029986,48.87359042000003,31.36750771235851,92.98605275802214,,
2014-05-121,Cirebon,35.136692440728694,46.388689880000015,39.43714110128087,5.751397164319534,,
2014-05-121,Indramayu,35.828447338007216,72.60148526,40.23234196630556,24.135930549885206,,
2014-05-121,Majalengka,37.99119954003743,62.86354628000004,57.6626481475642,0.0,,
2014-05-121,Subang,36.80929091079182,63.83768198000001,40.22147804997915,46.70457673185052,,
2014-05-137,Cirebon,28.093439251509178,45.93409322000002,38.74323357490932,0.4976061522875173,,
2014-05-137,Indramayu,13.558658036845214,68.44517294000002,38.242418362400606,20.393691446421954,,
2014-05-137,Majalengka,-10.990383520300687,5.314343539999982,-1.7095227498112926,13.65022806483715,,
2014-05-137,Subang,4.318245301662108,43.07662850000003,28.754748368418753,78.97958200376672,,
2014-06-153,Cirebon,36.12111195474542,45.11376842000004,39.84410069767577,0.4708237341977029,,
2014-06-153,Indramayu,35.470036468203695,73.26458114000002,39.62008598159874,0.5024810190118644,,
2014-06-153,Majalengka,37.38475133035576,60.494858420000014,54.855125420000036,0.0,,
2014-06-153,Subang,35.31974858860586,66.98567839999998,39.12011130602425,0.013595183535781681,,
2014-06-169,Cirebon,39.319373494116476,48.077191760000005,43.87527716608345,22.515200980102108,,
2014-06-169,Indramayu,36.96998716460629,76.07077556000002,43.23460874110813,36.68978096342161,,
2014-06-169,Subang,39.46034639306733,71.78457848000005,44.239370494540815,4.3864146773805155,,
2014-07-185,Indramayu,19.798789930389876,55.95914588000005,31.53285479072367,93.34188269948453,,
2014-07-185,Majalengka,15.527651733022653,43.96873172000005,34.35213245,33.988140304165135,,
2014-07-185,Subang,32.33138643052236,60.92211092000002,38.23641148793264,22.10909553675181,,
2014-07-201,Cirebon,27.518316419118786,39.67911662000006,33.434700356628625,19.624150766776612,,
2014-07-201,Indramayu,32.56039227356276,70.78309862000003,39.47655651678859,75.5395907368779,,
2014-07-201,Subang,35.736976162664604,69.07750664000002,39.870617059093995,0.0,,
2014-08-217,Cirebon,33.634846921829315,41.702584460000026,36.93684672390796,23.19943060900071,,
2014-08-217,Indramayu,35.184088584458536,73.14836846000003,40.62293683239338,36.92037403186424,,
2014-08-217,Majalengka,37.7308654521319,63.84109999999998,59.182338740000034,14.937956228102681,,
2014-08-217,Subang,35.42528299804453,66.54817184000001,40.12131463504779,28.642937862772662,,
2014-08-233,Cirebon,35.34559538235311,45.50342269999999,40.657858169195066,0.0,,
2014-08-233,Indramayu,36.02049620148623,79.17433772000004,42.23772358856771,24.508772086590515,,
2014-08-233,Majalengka,41.82367951976991,66.62678630000005,62.43800279000001,0.0,,
2014-08-233,Subang,35.12856373682777,60.82982437999999,40.744035244181624,68.87928408685838,,
2014-09-249,Cirebon,36.524970778349335,45.917003120000004,41.9064525851486,1.1266289108559207,,
2014-09-249,Indramayu,40.617739667685335,87.03236570000001,47.37087934583049,0.9585669267299332,,
2014-09-249,Majalengka,45.494925806228615,75.1718363,66.32486120000003,0.0,,
2014-09-249,Subang,39.86611124070876,71.97940562000002,46.37304422514421,2.6120786765397286,,
2014-09-265,Cirebon,43.941857241327206,58.86446288000002,52.06327440785211,0.6124298662151635,,
2014-09-265,Indramayu,47.143350833533475,99.84994070000005,59.2447424023196,1.1816583639834455,,
2014-09-265,Majalengka,56.08170352829758,81.77545094000004,64.111978085,0.0,,
2014-09-265,Subang,39.030386197282816,71.46670261999998,50.62251019022477,8.0892490873084,,
2014-10-281,Cirebon,40.952112038253965,57.52459904,50.62048333220436,17.94778400263442,,
2014-10-281,Indramayu,40.53247548177734,78.51124184000003,49.2428286791894,49.898504831302816,,
2014-10-281,Majalengka,33.33787990924597,55.152493160000006,48.195902650078764,87.13075265693467,,
2014-10-281,Subang,35.257027687175125,65.65265060000002,43.8776762905471,73.34409426006697,,
2014-10-297,Cirebon,38.149975209160125,48.14555216000002,42.56206056620799,31.69647092526109,,
2014-10-297,Indramayu,39.55317703094327,78.85987988,45.37020825380118,17.87996350683584,,
2014-10-297,Majalengka,45.433990238932,73.32610550000004,67.45052912000006,14.6376665966329,,
2014-10-297,Subang,37.488639639232474,69.88415936000001,43.6203794718925,13.726941949867017,,
2014-11-313,Cirebon,45.25362222737192,56.42057857999998,50.561193011350895,47.5640521934659,,
2014-11-313,Indramayu,43.41966201551838,76.48777400000006,50.37038082668639,88.23878166285289,,
2014-11-313,Subang,39.63765438015164,63.506134040000006,44.617546135862845,77.56921468202471,,
2015-01-12,Cirebon,0.5154434600000286,7.399335740000026,7.399335740000026,99.99901163918885,,
2015-01-12,Indramayu,20.912490284525553,29.288335820000043,28.720089995000023,99.96494568359009,,
2015-01-28,Cirebon,38.332739104802606,49.157286080000006,42.87509666686634,11.911335454827514,,
