date,Kabupaten,MODIS_LST_Mean,MODIS_LST_Max,MODIS_LST_Percentile95,MODIS_Data_Availability,MODIS_QC_Raw,MODIS_Max_Lon,MODIS_Max_Lat
2014-01-01,Bandung,,,,0.0,2.0,,
2014-01-01,Kota Cimahi,,,,0.0,2.0,,
2014-01-01,Kota Tasikmalaya,,,,0.0,2.0,,
2014-01-01,Tasikmalaya,,,,0.0,2.0008302003154754,,
2014-01-01,Ciamis,,,,0.0,2.0012359148450325,,
2014-01-01,Kota Banjar,,,,0.0,2.0,,
2014-01-01,Bekasi,,,,0.0,2.0544209457944365,,
2014-01-01,Bogor,,,,0.0,2.0,,
2014-01-01,Cianjur,,,,0.0,2.003158633090401,,
2014-01-01,Cirebon,,,,0.0,2.020252229515008,,
2014-01-01,Garut,,,,0.0,2.0033192195847875,,
2014-01-01,Indramayu,,,,0.0,2.0611206686084467,,
2014-01-01,Karawang,,,,0.0,2.0960503040974094,,
2014-01-01,Kota Bandung,,,,0.0,2.0,,
2014-01-01,Kota Bogor,,,,0.0,2.0,,
2014-01-01,Kota Cirebon,,,,0.0,2.0002185553491425,,
2014-01-01,Kota Sukabumi,,,,0.0,2.0,,
2014-01-01,Kuningan,,,,0.0,2.0,,
2014-01-01,Majalengka,,,,0.0,2.0,,
2014-01-01,Purwakarta,,,,0.0,2.0,,
2014-01-01,Subang,,,,0.0,2.0126809810806177,,
2014-01-01,Sukabumi,,,,0.0,2.0052089364374215,,
2014-01-01,Sumedang,,,,0.0,2.0,,
2014-01-01,Kota Bekasi,,,,0.0,2.0,,
2014-01-01,Kota Depok,,,,0.0,2.0,,
2014-01-02,Bandung,26.19588744658302,35.610000000000014,34.71366954851108,0.31195138758378727,23.025403746163036,,
2014-01-02,Kota Cimahi,,,,0.0,2.0,,
2014-01-02,Kota Tasikmalaya,,,,0.0,2.0,,
2014-01-02,Tasikmalaya,28.112580738895872,31.33000000000004,30.430000000000007,0.07142687714221325,9.360502626990996,,
2014-01-02,Ciamis,,,,0.0,2.0012359148450325,,
2014-01-02,Kota Banjar,,,,0.0,2.0,,
2014-01-02,Bekasi,,,,0.0,2.0544209457944365,,
2014-01-02,Bogor,24.49362418604655,30.250000000000057,28.29000000000002,0.02105924406129317,3.326732375861472,,
2014-01-02,Cianjur,28.64668799720534,33.150000000000034,32.59985948477753,0.20514393551133167,14.9272265703043,,
2014-01-02,Cirebon,,,,0.0,2.020252229515008,,
2014-01-02,Garut,30.559669727705312,35.77000000000004,33.65666666666671,0.18988770585362022,16.532817628940876,,
2014-01-02,Indramayu,30.766421408327894,34.81,34.81,0.03472494279695903,6.062513602873691,,
2014-01-02,Karawang,29.528106223856046,35.51000000000005,35.07000000000005,0.016095434152352695,3.110062655695628,,
2014-01-02,Kota Bandung,33.799510618651915,34.73000000000002,34.73000000000002,0.02520011169024572,5.200414184661207,,
2014-01-02,Kota Bogor,,,,0.0,2.0,,
2014-01-02,Kota Cirebon,,,,0.0,2.0002185553491425,,
2014-01-02,Kota Sukabumi,,,,0.0,2.0,,
2014-01-02,Kuningan,,,,0.0,2.0,,
2014-01-02,Majalengka,,,,0.0,2.0,,
2014-01-02,Purwakarta,29.75841968325795,37.39000000000004,35.23000000000002,0.20961858428413904,15.205970809900762,,
2014-01-02,Subang,26.84275730622621,26.950000000000045,26.950000000000045,0.0057388913803601595,2.3742311380433088,,
2014-01-02,Sukabumi,28.47173107262466,35.89000000000004,34.33000000000001,0.16052053590005014,12.118002698140579,,
2014-01-02,Sumedang,35.610000000000014,35.610000000000014,35.610000000000014,2.962405071235799E-4,2.0376225444046945,,
2014-01-02,Kota Bekasi,,,,0.0,2.0,,
2014-01-02,Kota Depok,,,,0.0,2.0,,
2014-01-03,Bandung,27.833663562087633,39.57000000000005,35.70000000000003,0.0525978826035206,5.352035331704561,,
2014-01-03,Kota Cimahi,,,,0.0,2.0,,
2014-01-03,Kota Tasikmalaya,,,,0.0,2.0,,
2014-01-03,Tasikmalaya,,,,0.0,2.0008302003154754,,
2014-01-03,Ciamis,,,,0.0,2.0012359148450325,,
2014-01-03,Kota Banjar,,,,0.0,2.0,,
2014-01-03,Bekasi,,,,0.0,2.0544209457944365,,
2014-01-03,Bogor,26.623733347774316,28.33000000000004,28.33000000000004,0.01205829459956092,2.759672559772339,,
2014-01-03,Cianjur,31.72611659060801,34.950000000000045,33.97000000000003,0.14014276283215057,7.55010597545192,,
2014-01-03,Cirebon,,,,0.0,2.020252229515008,,
2014-01-03,Garut,30.40156124706676,35.27000000000004,33.162128418549386,0.2831080448366712,14.255086390820077,,
2014-01-03,Indramayu,28.87944488292557,30.99000000000001,30.99000000000001,0.007193672747506065,2.5143220517013303,,
2014-01-03,Karawang,,,,0.0,2.0960503040974094,,
2014-01-03,Kota Bandung,35.07938083708063,39.57000000000005,39.57000000000005,0.06727010424422934,6.758120811615784,,
2014-01-03,Kota Bogor,,,,0.0,2.0,,
2014-01-03,Kota Cirebon,,,,0.0,2.0002185553491425,,
2014-01-03,Kota Sukabumi,,,,0.0,2.0,,
2014-01-03,Kuningan,,,,0.0,2.0,,
2014-01-03,Majalengka,,,,0.0,2.0,,
2014-01-03,Purwakarta,,,,0.0,2.0,,
2014-01-03,Subang,24.730000000000018,24.730000000000018,24.730000000000018,1.823027757420635E-6,2.0127958318293357,,
2014-01-03,Sukabumi,28.670418849036757,33.85000000000002,32.27000000000004,0.11341698887134692,9.088062375436937,,
2014-01-03,Sumedang,,,,0.0,2.0,,
2014-01-03,Kota Bekasi,,,,0.0,2.0,,
2014-01-03,Kota Depok,,,,0.0,2.0,,
2014-01-04,Bandung,,,,0.0,2.0,,
2014-01-04,Kota Cimahi,,,,0.0,2.0,,
2014-01-04,Kota Tasikmalaya,,,,0.0,2.0,,
2014-01-04,Tasikmalaya,,,,0.0,2.0008302003154754,,
2014-01-04,Ciamis,,,,0.0,2.0012359148450325,,
2014-01-04,Kota Banjar,,,,0.0,2.0,,
2014-01-04,Bekasi,,,,0.0,2.0544209457944365,,
2014-01-04,Bogor,,,,0.0,2.0,,
2014-01-04,Cianjur,,,,0.0,2.0031586330904005,,
2014-01-04,Cirebon,,,,0.0,2.020252229515008,,
2014-01-04,Garut,,,,0.0,2.0033192195847875,,
2014-01-04,Indramayu,,,,0.0,2.0611206686084467,,
2014-01-04,Karawang,,,,0.0,2.0960503040974094,,
2014-01-04,Kota Bandung,,,,0.0,2.0,,
2014-01-04,Kota Bogor,,,,0.0,2.0,,
2014-01-04,Kota Cirebon,,,,0.0,2.0002185553491425,,
2014-01-04,Kota Sukabumi,,,,0.0,2.0,,
2014-01-04,Kuningan,,,,0.0,2.0,,
2014-01-04,Majalengka,,,,0.0,2.0,,
2014-01-04,Purwakarta,,,,0.0,2.0,,
2014-01-04,Subang,,,,0.0,2.0126809810806177,,
2014-01-04,Sukabumi,,,,0.0,2.0052089364374215,,
2014-01-04,Sumedang,,,,0.0,2.0,,
2014-01-04,Kota Bekasi,,,,0.0,2.0,,
2014-01-04,Kota Depok,,,,0.0,2.0,,
2014-01-05,Bandung,,,,0.0,2.0,,
2014-01-05,Kota Cimahi,,,,0.0,2.0,,
2014-01-05,Kota Tasikmalaya,,,,0.0,2.0,,
2014-01-05,Tasikmalaya,,,,0.0,2.0008302003154754,,
2014-01-05,Ciamis,,,,0.0,2.0012359148450325,,
2014-01-05,Kota Banjar,,,,0.0,2.0,,
2014-01-05,Bekasi,,,,0.0,2.0544209457944365,,
2014-01-05,Bogor,,,,0.0,2.0,,
2014-01-05,Cianjur,,,,0.0,2.0031586330904005,,
2014-01-05,Cirebon,,,,0.0,2.020252229515008,,
2014-01-05,Garut,,,,0.0,2.0033192195847875,,
2014-01-05,Indramayu,,,,0.0,2.0611206686084467,,
2014-01-05,Karawang,,,,0.0,2.0960503040974094,,
2014-01-05,Kota Bandung,,,,0.0,2.0,,
2014-01-05,Kota Bogor,,,,0.0,2.0,,
2014-01-05,Kota Cirebon,,,,0.0,2.0002185553491425,,
2014-01-05,Kota Sukabumi,,,,0.0,2.0,,
2014-01-05,Kuningan,,,,0.0,2.0,,
2014-01-05,Majalengka,,,,0.0,2.0,,
2014-01-05,Purwakarta,,,,0.0,2.0,,
2014-01-05,Subang,,,,0.0,2.0126809810806177,,
2014-01-05,Sukabumi,,,,0.0,2.0052089364374215,,
2014-01-05,Sumedang,,,,0.0,2.0,,
2014-01-05,Kota Bekasi,,,,0.0,2.0,,
2014-01-05,Kota Depok,,,,0.0,2.0,,
2014-01-06,Bandung,,,,0.0,2.0,,
2014-01-06,Kota Cimahi,,,,0.0,2.0,,
2014-01-06,Kota Tasikmalaya,,,,0.0,2.0,,
2014-01-06,Tasikmalaya,,,,0.0,2.0008302003154754,,
2014-01-06,Ciamis,,,,0.0,2.0012359148450325,,
2014-01-06,Kota Banjar,,,,0.0,2.0,,
2014-01-06,Bekasi,26.610000000000014,26.610000000000014,26.610000000000014,0.001504726611827741,2.149218722339584,,
2014-01-06,Bogor,,,,0.0,2.0,,
2014-01-06,Cianjur,,,,0.0,2.0031586330904005,,
2014-01-06,Cirebon,,,,0.0,2.020252229515008,,
2014-01-06,Garut,,,,0.0,2.0033192195847875,,
2014-01-06,Indramayu,29.660058267716572,31.690000000000055,31.33000000000004,0.02403568637025178,3.5753689099343102,,
2014-01-06,Karawang,,,,0.0,2.0960503040974094,,
2014-01-06,Kota Bandung,,,,0.0,2.0,,
2014-01-06,Kota Bogor,,,,0.0,2.0,,
2014-01-06,Kota Cirebon,,,,0.0,2.0002185553491425,,
2014-01-06,Kota Sukabumi,,,,0.0,2.0,,
2014-01-06,Kuningan,,,,0.0,2.0,,
2014-01-06,Majalengka,,,,0.0,2.0,,
2014-01-06,Purwakarta,,,,0.0,2.0,,
2014-01-06,Subang,,,,0.0,2.0126809810806177,,
2014-01-06,Sukabumi,,,,0.0,2.0052089364374215,,
2014-01-06,Sumedang,,,,0.0,2.0,,
2014-01-06,Kota Bekasi,,,,0.0,2.0,,
2014-01-06,Kota Depok,,,,0.0,2.0,,
2014-01-07,Bandung,28.308186367468753,38.31,33.97470588235295,0.459175593560107,42.42559168076175,,
2014-01-07,Kota Cimahi,,,,0.0,2.0,,
2014-01-07,Kota Tasikmalaya,,,,0.0,2.0,,
2014-01-07,Tasikmalaya,27.42817493472586,33.59000000000003,31.99000000000001,0.06813572589157581,6.293380931484754,,
2014-01-07,Ciamis,30.057804795030545,36.03000000000003,34.23000000000002,0.20432584684798266,14.87376426626791,,
2014-01-07,Kota Banjar,,,,0.0,2.0,,
2014-01-07,Bekasi,,,,0.0,2.0544209457944365,,
2014-01-07,Bogor,,,,0.0,2.0,,
2014-01-07,Cianjur,28.28718218245996,35.75000000000006,34.48692307692309,0.09782207416544336,13.010104585609927,,
2014-01-07,Cirebon,,,,0.0,2.020252229515008,,
2014-01-07,Garut,30.920672810413993,41.25000000000006,37.73000000000002,0.36113438093960615,25.438019300319155,,
2014-01-07,Indramayu,,,,0.0,2.0611206686084467,,
2014-01-07,Karawang,27.00775744237233,27.390000000000043,27.390000000000043,0.017613370900907695,4.332948408512686,,
2014-01-07,Kota Bandung,37.93894878706203,38.31,38.31,0.025898175725986596,5.7034391288160835,,
2014-01-07,Kota Bogor,,,,0.0,2.0,,
2014-01-07,Kota Cirebon,,,,0.0,2.0002185553491425,,
2014-01-07,Kota Sukabumi,,,,0.0,2.0,,
2014-01-07,Kuningan,27.928692216515252,34.450000000000045,30.99000000000001,0.049864388302588096,5.14145646306305,,
2014-01-07,Majalengka,27.833148342582888,34.450000000000045,29.13000000000005,0.3121044639434963,21.66258122844027,,
2014-01-07,Purwakarta,27.934725354606645,35.79000000000002,33.150000000000034,0.21203330817172594,25.449636605791373,,
2014-01-07,Subang,30.196524178166733,33.370000000000005,33.14000000000004,0.06499458560756048,8.011455906427635,,
2014-01-07,Sukabumi,,,,0.0,2.0052089364374215,,
2014-01-07,Sumedang,27.280420351908035,28.77000000000004,28.55000000000001,0.08032887717316262,7.060719261909245,,
2014-01-07,Kota Bekasi,,,,0.0,2.0,,
2014-01-07,Kota Depok,,,,0.0,2.0,,
2014-01-08,Bandung,,,,0.0,2.0,,
2014-01-08,Kota Cimahi,,,,0.0,2.0,,
2014-01-08,Kota Tasikmalaya,,,,0.0,2.0,,
2014-01-08,Tasikmalaya,26.9714285714286,28.99000000000001,28.99000000000001,0.005292527011160262,2.3342594020185734,,
2014-01-08,Ciamis,28.906868720857588,32.190000000000055,31.53000000000003,0.030141543401185508,3.9001531491197206,,
2014-01-08,Kota Banjar,31.950227642276456,32.190000000000055,32.190000000000055,0.018206578051452094,3.147014417241481,,
2014-01-08,Bekasi,,,,0.0,2.0544209457944365,,
2014-01-08,Bogor,,,,0.0,2.0,,
2014-01-08,Cianjur,30.50000000000004,31.83000000000004,31.83000000000004,0.007198947194690807,2.4566923063559223,,
2014-01-08,Cirebon,29.33000000000004,29.33000000000004,29.33000000000004,7.30988527327429E-4,2.0663045067366363,,
2014-01-08,Garut,,,,0.0,2.0033192195847875,,
2014-01-08,Indramayu,29.66380261593344,30.410000000000025,30.410000000000025,0.007958272534402264,2.5624918382757893,,
2014-01-08,Karawang,,,,0.0,2.0960503040974094,,
2014-01-08,Kota Bandung,,,,0.0,2.0,,
2014-01-08,Kota Bogor,,,,0.0,2.0,,
2014-01-08,Kota Cirebon,,,,0.0,2.0002185553491425,,
2014-01-08,Kota Sukabumi,,,,0.0,2.0,,
2014-01-08,Kuningan,,,,0.0,2.0,,
2014-01-08,Majalengka,32.04233569739956,33.23000000000002,33.13000000000005,0.024752547669135098,3.559410503155512,,
2014-01-08,Purwakarta,,,,0.0,2.0,,
2014-01-08,Subang,,,,0.0,2.0126809810806177,,
2014-01-08,Sukabumi,,,,0.0,2.0052089364374215,,
2014-01-08,Sumedang,32.54573870110143,32.97000000000003,32.97000000000003,0.006610180129291407,2.4164413481453604,,
2014-01-08,Kota Bekasi,,,,0.0,2.0,,
2014-01-08,Kota Depok,,,,0.0,2.0,,
2014-01-09,Bandung,,,,0.0,2.0,,
2014-01-09,Kota Cimahi,,,,0.0,2.0,,
2014-01-09,Kota Tasikmalaya,,,,0.0,2.0,,
2014-01-09,Tasikmalaya,,,,0.0,2.0008302003154754,,
2014-01-09,Ciamis,,,,0.0,2.0012359148450325,,
2014-01-09,Kota Banjar,,,,0.0,2.0,,
2014-01-09,Bekasi,29.593134328358225,31.630000000000052,31.630000000000052,0.021349415221932424,4.236132911616489,,
2014-01-09,Bogor,,,,0.0,2.0,,
