date,Kabupaten,ERA5_LST_Mean,ERA5_LST_Max,ERA5_LST_Percentile95,ERA5_Cloud_Cover_Percentage,ERA5_Max_Lon,ERA5_Max_Lat
2014-01-01,Bandung,20.66640814814553,24.460294977823935,23.389656956990564,0,,
2014-01-01,Kota Cimahi,21.860865625709003,22.41740760803225,22.021004613240564,0,,
2014-01-01,Kota Tasikmalaya,22.12078202024971,22.678068415323935,22.678068415323935,0,,
2014-01-01,Tasikmalaya,22.485383378605295,24.670011774698935,24.22893104553225,0,108.29639907702891,-7.801868242578044
2014-01-01,Ciamis,23.304856812664386,24.75822792053225,24.751473363240564,0,108.37724745259966,-7.801868242578044
2014-01-01,Kota Banjar,23.66946177687943,23.849455134073935,23.849455134073935,0,,
2014-01-01,Bekasi,25.86066648022132,26.423673884073935,26.423673884073935,0,,
2014-01-01,Bogor,23.388635608067208,25.511564509073935,25.25773963928225,0,,
2014-01-01,Cianjur,22.299442615835886,24.62370643615725,24.249357477823935,0,,
2014-01-01,Cirebon,25.116944305265164,26.30070838928225,26.30070838928225,0,,
2014-01-01,Garut,21.004197904434523,24.382088597615564,23.445076878865564,0,107.89215719917512,-7.7210198670072865
2014-01-01,Indramayu,25.563578899732725,26.365975316365564,26.365975316365564,0,,
2014-01-01,Karawang,25.79584494824692,26.423673884073935,26.41496620178225,0,,
2014-01-01,Kota Bandung,21.951142252343587,22.64299354553225,22.64299354553225,0,,
2014-01-01,Kota Bogor,23.630373301202265,24.61272010803225,24.61272010803225,0,,
2014-01-01,Kota Cirebon,24.234589984093187,25.589933649698935,25.589933649698935,0,,
2014-01-01,Kota Sukabumi,22.226894944633553,23.303800837198935,22.48991737365725,0,,
2014-01-01,Kuningan,23.38824545128379,25.208992894490564,24.552091852823935,0,,
2014-01-01,Majalengka,23.632253308862154,26.247567113240564,25.38689002990725,0,,
2014-01-01,Purwakarta,24.093360123559638,25.661222712198935,25.49040565490725,0,,
2014-01-01,Subang,24.667832835659574,26.36711463928225,26.36711463928225,0,,
2014-01-01,Sukabumi,22.725924365243362,24.87248573303225,24.088143285115564,0,,
2014-01-01,Sumedang,22.894042424101166,24.686287816365564,24.427742894490564,0,,
2014-01-01,Kota Bekasi,25.443209576225026,25.618416722615564,25.618416722615564,0,,
2014-01-01,Kota Depok,25.011822107268454,25.237069066365564,25.237069066365564,0,,
2014-01-02,Bandung,22.116157878594027,25.35334421793624,24.554597473144554,0,,
2014-01-02,Kota Cimahi,23.24351052948925,23.72492624918624,23.461824035644554,0,,
2014-01-02,Kota Tasikmalaya,23.748647756229065,24.22907663981124,24.22907663981124,0,,
2014-01-02,Tasikmalaya,24.025048846633986,26.23786570231124,25.701081848144554,0,108.29639907702891,-7.801868242578044
2014-01-02,Ciamis,24.996514290170293,26.619783020019554,26.45726674397787,0,,
2014-01-02,Kota Banjar,25.42662884774584,25.65485788981124,25.65485788981124,0,,
2014-01-02,Bekasi,27.108466826999667,27.845857238769554,27.845857238769554,0,,
2014-01-02,Bogor,24.73008185947771,26.75495554606124,26.52464955647787,0,,
2014-01-02,Cianjur,23.806441836112583,26.36970163981124,25.61717885335287,0,,
2014-01-02,Cirebon,26.339065504602807,27.47338002522787,27.47338002522787,0,,
2014-01-02,Garut,22.6275635098882,25.38329213460287,25.141755676269554,0,107.89215719917512,-7.7210198670072865
2014-01-02,Indramayu,26.572077282401125,27.47338002522787,27.37523549397787,0,,
2014-01-02,Karawang,26.93550252736194,27.845857238769554,27.81940867106124,0,,
2014-01-02,Kota Bandung,23.384711115123523,24.30614369710287,24.30614369710287,0,,
2014-01-02,Kota Bogor,25.064591458673764,25.99860788981124,25.99860788981124,0,,
